Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Vilafranquense - Chaves 0:1,Portugal. Segunda Liga,2021-03-23,GK,50,1,0.34,2,1,1,2,1,1,1,1,4,1,3
Vilafranquense - Vizela 1:1,Portugal. Segunda Liga,2021-01-26,GK,35,0,0.05,1,1,0,1,5,4,6,5,2,0,2
Vilafranquense - Estoril 0:1,Portugal. Segunda Liga,2020-12-06,GK,101,1,1.87,4,3,3,1,4,4,8,8,14,6,8
Mafra - Vilafranquense 0:1,Portugal. Segunda Liga,2020-11-30,GK,100,0,0.1,1,1,1,2,7,4,9,8,16,3,13
Vilafranquense - Académica 0:0,Portugal. Segunda Liga,2020-11-08,GK,93,0,0.0,0,0,0,2,10,4,10,10,9,5,4
Chaves - Vilafranquense 0:0,Portugal. Segunda Liga,2020-10-31,GK,100,0,0.18,1,1,0,4,9,4,10,10,19,7,12
Vilafranquense - Casa Pia 2:2,Portugal. Segunda Liga,2020-10-24,GK,98,2,2.07,5,3,1,3,14,12,17,17,11,6,5
Sporting Covilhã - Vilafranquense 2:2,Portugal. Segunda Liga,2020-10-18,GK,95,2,1.86,4,2,0,2,16,8,9,9,5,3,2
Porto II - Vilafranquense 2:1,Portugal. Segunda Liga,2020-10-04,GK,97,2,1.43,9,7,3,1,7,6,4,3,7,1,6
Vilafranquense - UD Oliveirense 0:0,Portugal. Segunda Liga,2020-09-27,GK,96,0,0.04,1,1,0,1,14,7,6,6,10,2,8
Penafiel - Vilafranquense 1:2,Portugal. Segunda Liga,2020-09-23,GK,99,1,0.76,4,3,1,1,17,9,1,1,12,1,11
Benfica II - Vilafranquense 4:0,Portugal. Segunda Liga,2020-02-02,GK,96,4,2.41,4,0,0,1,5,3,20,20,6,4,2
Vilafranquense - Feirense 1:1,Portugal. Segunda Liga,2020-01-26,GK,95,1,1.02,4,3,1,2,5,4,5,5,8,2,6
Vilafranquense - Penafiel 1:1,Portugal. Segunda Liga,2020-01-19,GK,95,1,0.81,1,0,0,1,5,3,10,9,9,7,2
Mafra - Vilafranquense 1:1,Portugal. Segunda Liga,2020-01-12,GK,98,1,0.44,3,2,2,3,5,3,5,4,6,3,3
Vilafranquense - Varzim 0:3,Portugal. Segunda Liga,2020-01-05,GK,96,3,1.77,5,2,1,1,2,1,5,5,3,1,2
Chaves - Vilafranquense 2:1,Portugal. Segunda Liga,2019-12-29,GK,95,2,1.84,5,3,1,3,5,2,7,7,5,4,1
Vilafranquense - Leixões 1:1,Portugal. Segunda Liga,2019-12-14,GK,96,1,1.73,3,2,1,0,8,5,6,6,5,3,2
