Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
PSM - Persikabo 1973 0:0,Indonesia. Liga 1,2021-10-26,GK,95,0,0.14,1,1,1,3,9,6,12,12,5,3,2
Persita - Persikabo 1973 2:1,Indonesia. Liga 1,2021-10-22,GK,100,2,0.78,5,3,3,0,2,2,7,7,10,8,2
Persikabo 1973 - Borneo FC 3:0,Indonesia. Liga 1,2021-10-17,GK,96,0,0.56,4,4,2,5,9,6,5,4,8,0,8
Bali United - Persikabo 1973 1:1,Indonesia. Liga 1,2021-10-02,GK,94,1,1.39,6,5,4,4,10,7,4,4,9,2,7
Persikabo 1973 - Persib 0:0,Indonesia. Liga 1,2021-09-27,GK,94,0,0.34,5,5,3,2,10,5,6,5,16,0,16
Barito Putera - Persikabo 1973 0:3,Indonesia. Liga 1,2021-09-23,GK,96,0,1.27,8,8,3,5,7,5,5,5,11,4,7
Persikabo 1973 - Persik Kediri 2:2,Indonesia. Liga 1,2021-09-17,GK,95,2,1.11,2,0,0,0,5,3,6,5,6,2,4
Persebaya Surabaya - Persikabo 1973 3:1,Indonesia. Liga 1,2021-09-11,GK,94,3,3.88,7,4,2,1,3,2,8,7,3,3,0
Persikabo 1973 - Madura United 1:1,Indonesia. Liga 1,2021-09-03,GK,97,1,1.66,5,4,2,1,1,1,6,6,10,7,3
PS TIRA - Persita 3:1,Indonesia. Liga 1,2020-03-15,GK,96,1,1.25,8,7,0,0,6,4,5,5,11,6,5
PSS Sleman - PS TIRA 5:2,Indonesia. Liga 1,2019-12-22,GK,107,5,3.66,8,3,1,3,2,2,15,15,9,6,3
PS TIRA - PSIS Semarang 1:2,Indonesia. Liga 1,2019-11-22,GK,98,2,2.41,10,8,3,1,2,0,12,12,6,2,4
Persipura - PS TIRA 3:0,Indonesia. Liga 1,2019-10-02,GK,100,3,2.01,4,1,1,0,4,1,14,13,12,8,4
Mitra Kukar - PS TIRA 1:0,Indonesia. Liga 1,2018-11-23,GK,96,1,0.56,2,1,0,1,9,5,6,6,6,1,5
PS TIRA - Sriwijaya 3:0,Indonesia. Liga 1,2018-11-17,GK,95,0,0.02,1,1,0,3,11,4,0,0,13,2,11
