Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
Phnom Penh Crown - Visakha 4:2,Cambodia. Cambodian Premier League,2024-08-10,CF,101,60,27,1,0,5,2,1.38,10,9,0,0,0,0,2,2,27,16,9,4,2,11,1,1,1,0,0
Ried - Dornbirn 1:0,Austria. 2. Liga,2024-05-25,CF,80,53,21,0,0,2,2,0.57,9,7,1,1,0,0,1,1,32,12,7,3,1,12,4,3,1,0,0
Dornbirn - Leoben 2:1,Austria. 2. Liga,2024-05-20,AMF,98,75,45,1,0,1,1,0.23,33,27,2,1,0,0,1,1,38,17,12,7,5,18,9,4,2,0,0
Dornbirn - St. Pölten 3:1,Austria. 2. Liga,2024-05-17,CF,92,91,37,2,0,3,2,0.84,25,17,0,0,2,0,9,2,51,16,5,2,0,22,4,3,2,0,0
Floridsdorfer AC - Dornbirn 1:1,Austria. 2. Liga,2024-05-11,"CF, LCMF",96,74,44,0,0,1,0,0.34,17,13,0,0,0,0,0,0,56,31,17,10,1,23,6,4,0,0,0
Dornbirn - Kapfenberger SV 1:3,Austria. 2. Liga,2024-05-03,CF,48,37,20,0,0,1,0,0.04,16,13,1,0,0,0,4,2,18,6,4,1,1,13,2,0,0,0,0
Sturm Graz II - Dornbirn 2:3,Austria. 2. Liga,2024-04-27,LW,51,40,17,0,0,1,0,0.02,11,7,0,0,1,0,3,3,24,10,6,4,0,10,2,3,2,0,0
Stripfing - Dornbirn 2:2,Austria. 2. Liga,2024-04-20,CF,94,76,29,1,0,3,1,0.98,18,14,0,0,0,0,5,3,35,13,7,3,0,11,3,1,1,80,0
Dornbirn - First Vienna 1:0,Austria. 2. Liga,2024-04-12,CF,48,28,13,0,0,0,0,0.0,9,6,0,0,0,0,0,0,16,7,1,1,0,7,3,6,3,0,0
Amstetten - Dornbirn 0:1,Austria. 2. Liga,2024-04-06,LCMF3,39,42,22,0,0,1,1,0.81,7,5,0,0,0,0,3,2,28,16,15,9,3,13,2,1,0,0,0
Dornbirn - Horn 4:0,Austria. 2. Liga,2024-03-30,"AMF, LCMF",27,34,17,0,0,1,0,0.0,12,7,0,0,0,0,2,0,19,9,1,0,0,7,1,6,2,0,0
Admira - Dornbirn 1:0,Austria. 2. Liga,2024-03-09,CF,98,74,23,0,0,1,0,0.37,15,9,0,0,1,0,2,1,47,12,11,3,3,19,8,4,1,57,0
Dornbirn - Lafnitz 0:2,Austria. 2. Liga,2024-03-02,CF,94,92,42,0,0,1,0,0.22,28,20,2,0,1,1,4,1,50,17,18,7,1,25,6,8,7,0,0
Grazer AK - Dornbirn 3:0,Austria. 2. Liga,2024-02-24,CF,82,65,23,0,0,2,0,0.21,13,10,0,0,0,0,1,0,41,11,6,0,4,10,2,5,2,0,0
Dornbirn - Liefering 1:2,Austria. 2. Liga,2024-02-17,CF,99,73,21,1,0,1,1,0.76,13,8,2,1,0,0,1,0,49,12,18,2,2,23,9,3,2,40,0
Dornbirn - Sturm Graz II 2:3,Austria. 2. Liga,2023-10-07,CF,96,75,22,0,0,9,3,1.25,11,7,0,0,0,0,4,2,36,11,16,6,5,19,6,2,1,0,0
Dornbirn - Stripfing 1:3,Austria. 2. Liga,2023-09-29,CF,96,68,29,0,0,0,0,0.0,20,15,1,1,1,0,1,1,38,13,5,3,1,11,0,4,2,0,0
Dornbirn - St. Pölten 2:3 (E),Austria. Cup,2023-09-26,CF,129,92,30,2,0,3,2,0.66,19,13,0,0,1,0,3,0,54,14,11,3,2,21,5,7,3,90,0
First Vienna - Dornbirn 0:0,Austria. 2. Liga,2023-09-23,CF,70,66,20,0,0,3,2,0.6,8,5,0,0,0,0,2,1,34,11,6,2,3,10,3,1,1,46,0
