Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Semen Padang - PSM 2:1,Indonesia. Liga 1,2019-09-23,GK,100,1,1.27,6,5,2,1,2,2,2,2,12,6,6
Persib - Semen Padang 1:1,Indonesia. Liga 1,2019-09-18,GK,80,1,1.68,6,5,2,4,7,6,6,6,10,2,8
Semen Padang - PSS Sleman 0:1,Indonesia. Liga 1,2019-09-13,GK,94,1,1.16,4,3,1,2,0,0,28,28,3,1,2
Semen Padang - Persela 2:0,Indonesia. Liga 1,2019-08-20,GK,93,0,0.32,3,3,1,2,3,2,9,9,9,2,7
Bali United - Semen Padang 4:1,Indonesia. Liga 1,2019-08-09,GK,98,4,2.85,7,3,1,1,3,2,3,2,9,1,7
Semen Padang - Persebaya Surabaya 0:0,Indonesia. Liga 1,2019-07-28,GK,97,0,1.99,5,5,2,4,5,5,11,10,8,4,4
Semen Padang - Bhayangkara Surabaya Utd 2:3,Indonesia. Liga 1,2019-07-17,GK,96,3,2.37,10,7,3,3,3,1,11,11,6,2,4
Semen Padang - Arema 0:1,Indonesia. Liga 1,2019-07-12,GK,94,1,3.96,12,11,7,3,4,0,13,13,10,5,5
Semen Padang - PS TIRA 1:3,Indonesia. Liga 1,2019-07-08,GK,84,3,1.76,7,4,1,0,0,0,5,5,6,3,3
Semen Padang - Badak Lampung 1:2,Indonesia. Liga 1,2019-06-21,GK,96,2,2.15,6,4,2,1,2,1,14,13,2,1,1
Semen Padang - Persib 0:0,Indonesia. Liga 1,2019-05-29,GK,95,0,0.23,2,2,1,4,2,1,3,3,10,1,9
PSS Sleman - Semen Padang 1:1,Indonesia. Liga 1,2019-05-25,GK,96,1,1.87,9,8,1,1,9,6,3,3,10,2,8
PSM - Semen Padang 1:0,Indonesia. Liga 1,2019-05-20,GK,95,1,1.01,4,3,1,2,2,0,16,15,10,4,6
Arema - Sriwijaya 2:1,Indonesia. Liga 1,2018-12-09,GK,94,2,2.78,7,5,4,0,4,2,7,6,19,7,12
Sriwijaya - Mitra Kukar 3:1,Indonesia. Liga 1,2018-11-30,GK,93,1,1.19,4,3,1,5,11,6,17,17,6,4,2
PS TIRA - Sriwijaya 3:0,Indonesia. Liga 1,2018-11-17,GK,95,3,1.06,6,3,2,0,1,0,20,20,8,7,1
Sriwijaya - Barito Putera 2:0,Indonesia. Liga 1,2018-11-12,GK,97,0,0.2,2,2,0,2,9,7,19,16,3,1,2
Persela - Sriwijaya 3:0,Indonesia. Liga 1,2018-11-02,GK,95,3,2.73,7,4,3,2,7,5,14,14,6,3,3
Sriwijaya - Perseru Serui 4:0,Indonesia. Liga 1,2018-10-29,GK,95,0,0.38,1,1,1,6,4,3,20,20,11,6,5
PSIS Semarang - Sriwijaya 1:0,Indonesia. Liga 1,2018-10-23,GK,123,1,2.74,7,6,3,8,5,3,12,12,6,2,4
Sriwijaya - PSMS 0:3,Indonesia. Liga 1,2018-10-18,GK,103,3,2.85,8,5,4,1,7,4,5,5,10,5,5
Sriwijaya - Bali United 3:2,Indonesia. Liga 1,2018-10-06,GK,97,2,1.81,4,2,2,0,8,4,9,8,6,2,4
Sriwijaya - Persiba Balikpapan 1:0,Indonesia. Liga 1,2017-08-29,GK,95,0,0.0,0,0,0,3,4,2,14,13,5,3,2
