Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Sporting Covilhã - Farense 0:0,Portugal. Segunda Liga,2021-11-07,GK,95,0,0.17,2,2,2,0,11,5,8,8,11,1,10
Mafra - Sporting Covilhã 1:1,Portugal. Segunda Liga,2021-10-31,GK,95,1,0.82,2,1,1,0,12,8,5,5,14,2,12
Trofense - Sporting Covilhã 3:0,Portugal. Segunda Liga,2021-10-24,GK,95,3,2.45,6,3,1,0,5,4,10,10,7,3,4
Sporting Covilhã - Nacional 1:1,Portugal. Segunda Liga,2021-10-10,GK,96,1,0.85,3,2,1,1,7,6,9,9,6,1,5
Sporting Covilhã - Vitória Guimarães 0:2,Portugal. Taça da Liga,2021-09-21,GK,96,2,1.38,4,2,1,0,10,6,10,10,8,3,5
Sporting Covilhã - Penafiel 0:0,Portugal. Segunda Liga,2021-09-17,GK,97,0,0.86,3,3,2,1,7,6,7,7,8,3,5
Benfica II - Sporting Covilhã 0:0,Portugal. Segunda Liga,2021-09-11,GK,96,0,0.53,3,3,2,1,7,4,11,11,15,13,2
Sporting Covilhã - Porto II 1:2,Portugal. Segunda Liga,2021-08-29,GK,94,2,1.49,5,3,1,1,9,4,9,9,7,2,5
Vilafranquense - Sporting Covilhã 1:1,Portugal. Segunda Liga,2021-08-23,GK,97,1,1.88,3,2,1,0,5,2,13,12,10,4,6
Sporting Covilhã - Academico Viseu 2:1,Portugal. Segunda Liga,2021-08-15,GK,101,1,0.69,4,3,1,0,6,5,10,10,11,1,10
Feirense - Sporting Covilhã 1:2,Portugal. Segunda Liga,2021-08-07,GK,98,1,0.85,5,4,1,1,9,7,9,9,17,6,11
Sporting Covilhã - Estoril 3:2,Portugal. Segunda Liga,2021-05-16,GK,98,2,1.75,4,2,0,1,5,4,3,3,12,2,10
Benfica II - Sporting Covilhã 1:1,Portugal. Segunda Liga,2021-05-08,GK,95,1,1.59,3,2,2,3,5,2,4,4,10,0,10
Sporting Covilhã - Leixões 0:0,Portugal. Segunda Liga,2021-05-02,GK,94,0,0.25,1,1,0,0,4,4,14,14,12,3,9
Mafra - Sporting Covilhã 2:2,Portugal. Segunda Liga,2021-04-24,GK,97,2,1.15,6,4,1,1,1,1,10,10,6,2,4
Sporting Covilhã - Arouca 1:2,Portugal. Segunda Liga,2021-04-19,GK,96,2,1.91,4,2,2,2,9,9,3,3,12,0,12
Chaves - Sporting Covilhã 2:0,Portugal. Segunda Liga,2021-04-11,GK,95,2,1.91,6,4,1,0,7,4,3,3,6,2,4
Sporting Covilhã - Académica 1:1,Portugal. Segunda Liga,2021-04-02,GK,94,1,0.48,1,0,0,1,8,4,6,5,7,0,7
Sporting Covilhã - Casa Pia 0:0,Portugal. Segunda Liga,2021-03-28,GK,94,0,0.0,0,0,0,1,4,2,12,12,12,0,12
Porto II - Sporting Covilhã 2:1,Portugal. Segunda Liga,2021-03-21,GK,95,2,2.28,5,3,3,0,0,0,4,4,2,1,1
Sporting Covilhã - UD Oliveirense 1:0,Portugal. Segunda Liga,2021-03-16,GK,96,0,0.16,1,1,0,0,5,2,9,9,11,2,9
Sporting Covilhã - Penafiel 0:2,Portugal. Segunda Liga,2021-03-11,GK,97,2,0.96,3,1,0,3,4,3,4,4,4,1,3
Vilafranquense - Sporting Covilhã 2:2,Portugal. Segunda Liga,2021-03-08,GK,101,2,1.52,4,2,2,3,6,3,4,4,10,2,8
Sporting Covilhã - Academico Viseu 2:1,Portugal. Segunda Liga,2021-03-03,GK,95,1,0.87,1,0,0,0,5,5,5,5,10,1,9
Sporting Covilhã - Feirense 0:2,Portugal. Segunda Liga,2021-02-27,GK,96,2,2.17,6,4,3,3,5,3,9,9,7,1,6
Varzim - Sporting Covilhã 1:2,Portugal. Segunda Liga,2021-02-22,GK,98,1,2.88,6,5,4,2,5,3,3,3,10,0,10
Sporting Covilhã - Mafra 2:2,Portugal. Segunda Liga,2021-02-18,GK,95,2,0.94,3,1,0,2,8,5,9,9,10,6,4
Sporting Covilhã - Vizela 0:0,Portugal. Segunda Liga,2021-02-13,GK,94,0,0.24,2,2,1,2,11,8,6,5,7,1,6
Cova da Piedade - Sporting Covilhã 1:0,Portugal. Segunda Liga,2021-02-08,GK,96,1,0.81,2,1,1,0,4,3,12,12,3,2,1
