Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
Botafogo SP - Avaí 0:1,Brazil. Serie B,2020-11-24,CF,21,8,4,0,0,1,0,0.03,3,2,0,0,1,0,1,1,4,2,2,0,0,2,0,0,0,0,0
Confiança - Botafogo SP 1:0,Brazil. Serie B,2020-11-11,CF,48,33,16,0,0,0,0,0.0,9,8,1,1,0,0,1,0,20,7,8,3,0,11,4,3,3,0,0
Botafogo SP - Cruzeiro 0:1,Brazil. Serie B,2020-11-06,CF,58,53,25,0,0,0,0,0.0,15,11,1,1,1,0,6,3,25,11,2,1,3,10,0,3,2,0,0
Operário PR - Botafogo SP 0:0,Brazil. Serie B,2020-10-31,"AMF, CF",86,64,26,0,0,1,0,0.02,12,11,0,0,0,0,12,6,35,15,0,0,2,9,1,2,1,29,0
Botafogo SP - Vitória 2:1,Brazil. Serie B,2020-10-26,CF,86,56,19,1,0,1,1,0.36,16,13,0,0,1,0,2,1,23,5,2,0,4,7,3,3,1,0,0
Botafogo SP - América Mineiro 1:2,Brazil. Serie B,2020-10-17,CF,25,13,5,0,0,0,0,0.0,2,2,1,1,0,0,1,1,7,3,1,1,0,0,0,0,0,0,0
Sampaio Corrêa - Botafogo SP 2:0,Brazil. Serie B,2020-10-12,AMF,29,24,12,0,0,2,0,0.07,7,6,0,0,0,0,3,2,11,5,0,0,1,5,1,2,0,0,0
Chapecoense - Botafogo SP 1:0,Brazil. Serie B,2020-10-06,CF,27,19,11,0,0,1,1,0.04,4,4,1,1,0,0,3,2,12,6,1,0,0,4,0,0,0,0,0
Botafogo SP - CRB 1:2,Brazil. Serie B,2020-09-26,CF,37,23,11,0,0,1,1,0.08,9,7,0,0,0,0,2,1,9,3,1,0,2,7,1,2,1,0,0
Botafogo SP - Brasil de Pelotas 0:1,Brazil. Serie B,2020-09-22,CF,17,11,7,0,0,0,0,0.0,3,2,0,0,0,0,3,3,7,4,2,0,0,1,0,0,0,0,0
CRB - Cruzeiro 1:1,Brazil. Copa do Brasil,2020-08-26,CF,23,20,9,0,0,0,0,0.0,5,5,0,0,0,0,2,2,9,4,2,0,1,6,1,1,1,96,0
Cruzeiro - URT 3:0,Brazil. Mineiro 1,2020-07-26,CF,12,8,5,0,0,0,0,0.0,3,3,0,0,0,0,1,1,4,2,0,0,0,3,0,1,0,0,0
Cruzeiro - Coimbra Sports 0:1,Brazil. Mineiro 1,2020-03-15,CF,9,5,1,0,0,0,0,0.0,1,0,0,0,0,0,1,0,3,1,1,0,0,2,0,0,0,0,0
Tombense - Cruzeiro 2:0,Brazil. Mineiro 1,2020-02-20,CF,50,36,15,0,0,0,0,0.0,14,11,0,0,2,2,2,0,17,4,3,1,1,9,2,1,1,0,0
São Raimundo RR - Cruzeiro 2:2,Brazil. Copa do Brasil,2020-02-14,CF,27,20,12,0,0,0,0,0.0,9,7,0,0,0,0,1,1,11,5,1,0,0,2,0,1,1,0,0
Cruzeiro - América Mineiro 1:1,Brazil. Mineiro 1,2020-02-09,CF,22,9,2,0,0,0,0,0.0,1,1,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0
Tupynambás - Cruzeiro 2:4,Brazil. Mineiro 1,2020-02-02,CF,36,20,5,0,0,1,0,0.54,6,4,0,0,1,0,4,0,10,1,1,0,0,4,0,0,0,0,0
Cruzeiro - Villa Nova 1:0,Brazil. Mineiro 1,2020-01-29,CF,50,25,11,0,0,1,0,0.13,7,7,0,0,0,0,1,1,13,4,2,1,0,3,1,2,2,17,0
Cruzeiro - Boa 2:0,Brazil. Mineiro 1,2020-01-23,CF,73,60,31,0,1,2,1,0.09,17,14,1,1,1,0,6,5,33,16,3,1,0,8,3,1,1,0,0
Atlético GO - Paraná 1:0,Brazil. Serie B,2019-11-16,"LW, CF",29,17,9,0,0,1,0,0.02,5,5,0,0,0,0,0,0,9,4,1,1,0,3,1,2,0,84,0
Paraná - Vitória 0:0,Brazil. Serie B,2019-11-08,"AMF, LAMF",27,12,8,0,0,0,0,0.0,5,5,1,1,0,0,0,0,6,3,1,0,1,3,1,1,1,0,0
Paraná - Londrina 1:0,Brazil. Serie B,2019-10-29,LAMF,46,47,25,0,0,1,0,0.21,19,16,1,1,1,0,3,3,20,7,1,0,2,8,1,3,2,0,0
Sport Recife - Paraná 2:1,Brazil. Serie B,2019-10-24,"CF, LW",99,59,34,0,0,0,0,0.0,26,22,3,3,0,0,5,3,26,12,2,0,1,12,3,3,2,0,0
Paraná - Figueirense 0:1,Brazil. Serie B,2019-10-20,"LAMF, CF",98,68,29,0,0,3,2,0.11,20,14,1,0,2,0,13,4,33,12,2,1,1,15,4,2,0,0,0
Paraná - Brasil de Pelotas 1:0,Brazil. Serie B,2019-10-16,CF,80,55,22,1,0,3,1,0.11,15,11,1,0,0,0,5,5,28,10,6,2,1,9,1,4,2,0,0
Bragantino - Paraná 2:0,Brazil. Serie B,2019-10-12,"CF, LW",86,60,28,0,0,0,0,0.0,11,10,1,1,1,0,6,3,38,17,3,1,2,8,3,3,0,0,0
Operário PR - Paraná 0:1,Brazil. Serie B,2019-10-09,"LAMF, RAMF",62,45,18,0,1,0,0,0.0,14,8,2,0,0,0,3,1,26,10,5,0,1,8,3,4,1,17,0
Paraná - Coritiba 2:0,Brazil. Serie B,2019-10-05,LAMF,74,47,23,0,0,0,0,0.0,14,12,0,0,1,0,4,3,21,9,0,0,4,3,2,3,0,69,0
Oeste - Paraná 1:1,Brazil. Serie B,2019-09-29,LAMF,69,51,21,0,0,1,1,0.03,17,12,2,0,0,0,2,1,25,8,1,0,2,15,0,3,1,0,0
Paraná - Ponte Preta 1:1,Brazil. Serie B,2019-09-26,LAMF,65,55,25,0,0,2,2,0.17,19,16,0,0,0,0,1,0,22,5,2,0,0,7,1,1,0,0,0
Guarani - Paraná 1:0,Brazil. Serie B,2019-09-21,"LAMF, RAMF",70,47,22,0,0,0,0,0.0,13,11,3,2,1,1,2,2,27,11,2,0,1,6,1,5,3,0,0
Paraná - Cuiabá 0:0,Brazil. Serie B,2019-09-15,AMF,25,16,9,0,0,1,0,0.07,7,5,1,0,1,0,3,2,6,2,2,0,1,3,1,1,1,0,0
Juventude - Tombense 2:0,Brazil. Serie C,2019-08-09,CF,75,43,15,0,0,1,1,0.13,8,4,1,0,2,0,4,1,28,10,4,1,0,13,2,3,3,0,0
Remo - Tombense 0:2,Brazil. Serie C,2019-08-02,CF,70,42,12,0,0,2,0,0.05,7,6,0,0,0,0,1,0,24,6,3,0,0,13,4,1,0,63,0
Tombense - Volta Redonda 0:2,Brazil. Serie C,2019-07-12,CF,99,76,25,0,0,1,0,0.21,19,15,1,1,0,0,7,3,39,9,5,0,1,19,2,3,3,35,0
Tombense - Paysandu 0:1,Brazil. Serie C,2019-07-05,CF,97,64,24,0,0,3,0,0.4,13,11,1,0,0,0,4,2,35,12,7,1,1,10,1,4,2,0,0
Tombense - Juventude 1:0,Brazil. Serie C,2019-06-09,CF,74,47,24,0,1,2,0,0.15,20,16,0,0,1,0,4,3,20,8,0,0,1,8,2,2,2,0,0
Tombense - Remo 2:2,Brazil. Serie C,2019-06-04,CF,98,57,28,0,0,1,0,0.04,20,15,0,0,2,0,5,4,25,13,1,0,4,9,0,7,6,13,0
Paysandu - Tombense 1:0,Brazil. Serie C,2019-05-07,CF,27,16,10,0,0,1,0,0.03,9,7,0,0,1,0,3,2,5,3,0,0,0,3,1,0,0,0,0
Boa - Tombense (P) 1:1,Brazil. Mineiro 1,2019-03-24,CF,49,26,14,0,0,1,1,0.05,13,10,0,0,0,0,1,0,10,3,1,0,0,3,0,2,1,0,0
CSA - Avaí 0:1,Brazil. Serie B,2018-11-17,RW,40,30,16,0,0,0,0,0.0,12,8,1,0,3,0,7,4,17,8,5,2,0,8,0,1,1,0,0
CRB - CSA 0:0,Brazil. Serie B,2018-09-29,"LWF, RWF",40,41,21,0,0,0,0,0.0,10,9,0,0,0,0,4,2,22,11,1,0,1,5,0,0,0,62,0
