Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
Nacional - Sporting CP 0:1,Portugal. Primeira Liga,2019-04-19,RCB,98,70,43,0,0,1,1,0.08,30,26,4,1,0,0,0,0,22,13,9,4,12,10,7,11,0,62,0
Boavista - Nacional 1:0,Portugal. Primeira Liga,2019-04-14,RCB,99,74,54,0,0,2,0,0.13,49,41,13,9,0,0,0,0,19,12,13,8,1,10,2,6,0,0,0
Nacional - Desportivo Aves 0:0,Portugal. Primeira Liga,2019-04-06,RCB,51,53,37,0,0,1,0,0.06,34,30,3,2,0,0,0,0,13,7,5,3,3,4,2,9,4,49,0
Portimonense - Nacional 5:1,Portugal. Primeira Liga,2019-03-10,RCB,93,50,34,0,0,0,0,0.0,28,24,3,1,0,0,0,0,15,9,6,3,8,7,3,12,0,32,0
Nacional - Tondela 3:2,Portugal. Primeira Liga,2019-03-02,RCB,101,62,44,0,0,0,0,0.0,29,28,5,5,0,0,1,1,26,15,13,5,4,7,5,14,0,0,0
Santa Clara - Nacional 2:0,Portugal. Primeira Liga,2019-02-24,RCB,99,43,28,0,0,1,0,0.05,19,14,3,0,0,0,0,0,13,10,6,4,6,9,5,8,3,0,0
Nacional - Feirense 4:0,Portugal. Primeira Liga,2019-02-16,RCB,93,40,22,0,0,2,0,0.21,18,10,9,3,0,0,0,0,17,10,8,5,4,9,3,16,0,0,0
Benfica - Nacional 10:0,Portugal. Primeira Liga,2019-02-10,RCB,92,52,35,0,0,1,1,0.04,23,23,4,4,0,0,0,0,12,7,3,1,6,1,1,10,1,0,0
Nacional - Vitória Setúbal 0:0,Portugal. Primeira Liga,2019-02-03,RCB,98,70,47,0,0,1,1,0.11,23,22,3,3,0,0,1,0,33,19,13,7,8,5,4,17,3,0,0
Moreirense - Nacional 2:1,Portugal. Primeira Liga,2019-01-28,RCB,96,95,62,0,0,0,0,0.0,58,53,9,7,0,0,3,0,24,7,3,2,4,10,4,17,2,30,0
Nacional - Sporting Braga 0:3,Portugal. Primeira Liga,2019-01-18,RCB,94,86,48,0,0,0,0,0.0,44,33,12,5,0,0,2,1,29,14,10,5,9,12,7,17,2,0,0
Nacional - Belenenses 0:1,Portugal. Primeira Liga,2019-01-13,RCB,95,59,39,0,0,0,0,0.0,28,23,4,1,0,0,0,0,20,11,9,4,3,8,4,6,1,50,0
