Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Persita - PSM 0:3,Indonesia. Liga 1,2021-11-01,GK,94,0,1.08,5,5,4,1,1,1,11,11,11,5,6
PSM - Persikabo 1973 0:0,Indonesia. Liga 1,2021-10-26,GK,95,0,0.04,1,1,0,4,4,3,17,17,11,1,10
Borneo FC - PSM 2:1,Indonesia. Liga 1,2021-10-22,GK,98,2,1.63,5,3,1,2,3,1,3,3,7,3,4
PSM - Bali United 2:1,Indonesia. Liga 1,2021-10-17,GK,98,1,2.59,7,6,5,6,8,5,5,5,10,5,5
PSM - Arema 1:1,Indonesia. Liga 1,2021-09-05,GK,96,1,1.45,4,3,1,0,0,0,10,10,7,4,3
PSM - PSS Sleman 1:2,Indonesia. Menpora Cup,2021-04-24,GK,97,2,1.68,4,2,1,1,3,1,21,20,7,5,2
Persija - PSM (P) 0:0,Indonesia. Menpora Cup,2021-04-18,GK,96,0,0.14,2,2,1,3,16,8,10,10,9,1,8
PSM - Persija 0:0,Indonesia. Menpora Cup,2021-04-15,GK,94,0,1.11,3,3,2,5,7,4,10,10,4,4,0
PSIS Semarang - PSM 0:0 (P),Indonesia. Menpora Cup,2021-04-09,GK,95,0,0.12,2,2,0,5,2,1,20,19,9,6,3
Borneo FC - PSM 2:2,Indonesia. Menpora Cup,2021-03-31,GK,98,2,2.06,7,5,1,4,4,2,4,4,7,1,6
PSM - Kaya 1:1,Asia. AFC Champions League Two,2020-03-10,GK,98,1,0.98,4,3,2,2,5,2,12,12,13,3,10
Persita - PSM 1:1,Indonesia. Liga 1,2020-03-06,GK,97,1,1.13,11,10,4,1,3,2,7,5,9,1,8
PSM - PSS Sleman 2:1,Indonesia. Liga 1,2020-03-01,GK,94,1,0.84,2,1,0,3,2,2,9,9,6,2,4
Persib - PSM 5:2,Indonesia. Liga 1,2019-12-22,GK,93,5,2.88,8,3,2,4,12,7,8,8,8,1,7
PSIS Semarang - PSM 1:0,Indonesia. Liga 1,2019-11-27,GK,96,1,1.67,4,3,2,3,4,2,12,12,10,3,7
PSM - Bali United 1:0,Indonesia. Liga 1,2019-11-23,GK,84,0,0.86,8,8,2,2,16,11,7,7,7,0,7
Arema - PSM 2:0,Indonesia. Liga 1,2019-10-02,GK,83,2,1.02,4,2,2,5,2,1,8,8,11,6,5
Persipura - PSM 3:1,Indonesia. Liga 1,2019-09-27,GK,97,3,2.69,6,3,0,2,10,4,10,9,6,3,3
PSM - Bhayangkara F.C. 2:1,Indonesia. Liga 1,2019-07-13,GK,99,1,1.38,7,6,3,2,11,5,6,6,11,2,9
PSM - PSMS 5:1,Indonesia. Liga 1,2018-12-09,GK,102,1,0.8,10,9,1,3,1,0,11,8,5,1,4
