Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
Tombense - Cruzeiro 0:0,Brazil. Mineiro 1,2024-03-10,CF,106,40,10,0,0,2,1,0.16,7,4,1,0,0,0,2,0,19,5,5,1,2,7,2,1,1,0,0
Tombense - Patrocinense 4:0,Brazil. Mineiro 1,2024-02-18,CF,89,27,18,2,0,4,4,2.2,9,9,1,1,0,0,1,1,10,5,6,3,1,4,3,0,0,0,0
Atlético Mineiro - Tombense 1:1,Brazil. Mineiro 1,2024-02-15,CF,102,71,30,0,0,2,1,0.84,20,16,0,0,0,0,3,2,34,13,8,2,3,11,3,3,2,0,0
Democrata GV - Tombense 2:2,Brazil. Mineiro 1,2024-02-08,CF,107,64,27,1,0,7,3,1.26,12,10,1,1,0,0,2,2,20,14,8,6,1,8,0,1,1,0,0
Tombense - Athletic Club 1:0,Brazil. Mineiro 1,2024-02-03,CF,102,54,23,1,0,6,3,0.66,8,7,0,0,0,0,1,1,23,12,12,5,0,9,2,3,3,93,0
Pouso Alegre - Tombense 1:2,Brazil. Mineiro 1,2024-01-28,CF,105,47,22,1,0,1,1,0.48,17,12,1,1,0,0,1,0,19,9,7,4,0,10,3,1,1,0,0
Tombense - Uberlândia 2:2,Brazil. Mineiro 1,2024-01-24,CF,86,44,13,1,0,3,1,0.84,9,6,1,0,0,0,1,0,15,6,7,3,3,10,4,3,1,0,0
Sport Recife - Sergipe 2:1,Brazil. Copa do Nordeste,2023-03-09,CF,101,49,19,0,0,1,0,0.17,15,13,0,0,0,0,0,0,21,6,12,3,2,9,2,3,1,0,0
Sergipe - Botafogo 1:1,Brazil. Copa do Brasil,2023-03-03,CF,20,11,4,0,0,0,0,0.0,2,1,0,0,0,0,0,0,7,3,2,1,1,1,0,2,0,0,0
Atlético Gloriense - Sergipe 0:0,Brazil. Sergipano,2023-02-22,CF,63,29,7,0,0,2,0,0.28,2,0,0,0,0,0,0,0,20,7,5,1,1,10,2,2,0,0,0
Ferroviário - Sergipe 0:0,Brazil. Copa do Nordeste,2023-02-18,CF,53,44,13,0,0,0,0,0.0,9,7,0,0,0,0,1,1,24,6,5,1,0,5,1,0,0,0,0
Sergipe - Vitória 2:1,Brazil. Copa do Nordeste,2023-02-15,CF,61,36,12,0,0,0,0,0.0,8,6,1,0,1,0,1,0,19,6,7,1,0,8,0,2,1,46,0
Sergipe - Frei Paulistano 1:0,Brazil. Sergipano,2023-02-09,CF,51,30,10,0,0,1,0,0.1,8,5,0,0,1,0,2,1,11,4,4,2,0,6,1,2,1,0,0
