Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
Figueirense - Sampaio Corrêa 1:0,Brazil. Serie B,13/6/2018,CF,98,72,34,0,0,2,2,0.33,30,22,0,0,4,0,2,2,34,9,16,2,4,17,0,6,4,0,0
Sampaio Corrêa - Oeste 2:0,Brazil. Serie B,9/6/2018,CF,29,22,10,0,0,1,0,0,9,6,0,0,0,0,2,1,9,4,1,0,1,4,1,3,1,0,0
Sampaio Corrêa - Avaí 1:1,Brazil. Serie B,6/6/2018,CF,17,15,7,0,0,0,0,0,7,4,0,0,2,0,1,1,7,3,3,2,0,4,0,1,1,0,0
Sampaio Corrêa - Ponte Preta 1:0,Brazil. Serie B,29/5/2018,CF,13,14,5,0,0,0,0,0,3,3,0,0,0,0,0,0,7,2,3,0,0,2,0,0,0,0,0
Vitória - Sampaio Corrêa 0:0,Brazil. Copa do Nordeste,25/5/2018,CF,65,40,11,0,0,0,0,0,8,7,0,0,0,0,0,0,26,4,20,2,1,3,1,3,1,0,0
Sampaio Corrêa - Vitória 3:0,Brazil. Copa do Nordeste,17/5/2018,CF,82,36,14,0,0,1,0,0.04,14,10,0,0,3,0,2,1,17,5,9,1,0,9,2,1,1,0,0
Sampaio Corrêa - CRB 2:3,Brazil. Serie B,8/5/2018,CF,44,44,19,0,0,2,1,0.33,16,13,0,0,4,2,2,0,15,5,4,2,3,9,2,2,1,88,90
Sampaio Corrêa - Paysandu 1:1,Brazil. Serie B,5/5/2018,CF,64,39,16,0,0,0,0,0,19,12,1,0,1,0,2,1,14,4,4,0,3,11,2,3,3,0,0
Vila Nova - Sampaio Corrêa 3:1,Brazil. Serie B,28/4/2018,LW,19,16,11,0,0,1,0,0.05,10,9,0,0,0,0,1,1,4,2,1,0,1,2,0,2,2,0,0
Guarani - Sampaio Corrêa 2:0,Brazil. Serie B,21/4/2018,"CF, LW",98,80,41,0,0,2,0,0.3,34,25,3,2,3,1,7,5,36,15,16,5,5,23,5,5,2,8,0
Ríver - Sampaio Corrêa 2:2,Brazil. Copa do Nordeste,19/4/2018,CF,99,66,32,1,0,4,2,0.83,16,15,0,0,0,0,2,1,39,15,22,9,1,18,2,3,2,75,0
Sampaio Corrêa - Coritiba 2:0,Brazil. Serie B,15/4/2018,CF,95,54,26,1,0,2,1,0.89,22,18,1,0,0,0,1,1,29,7,18,3,0,12,3,3,1,0,0
Sampaio Corrêa - CSA 0:0,Brazil. Copa do Nordeste,30/3/2018,CF,95,38,19,0,0,3,0,0.61,15,11,2,1,0,0,4,3,13,6,7,2,4,11,2,2,2,0,0
Salgueiro - Sampaio Corrêa 0:0,Brazil. Copa do Nordeste,20/3/2018,"CF, LW, RW",95,47,24,0,0,0,0,0,18,12,2,1,0,0,1,1,25,10,10,3,3,11,1,4,3,0,0
Sampaio Corrêa - Ponte Preta 0:0 (P),Brazil. Copa do Brasil,15/3/2018,CF,94,54,26,0,0,1,0,0.04,20,16,0,0,1,0,1,1,27,9,9,4,4,13,3,3,2,0,0
Ceará - Sampaio Corrêa 2:1,Brazil. Copa do Nordeste,10/3/2018,"CF, RW",74,48,28,1,0,3,1,0.17,16,14,1,1,0,0,0,0,22,12,14,9,4,12,3,4,1,0,0
Ponte Preta - Sampaio Corrêa 0:0,Brazil. Copa do Brasil,28/2/2018,CF,97,78,38,0,0,3,1,0.27,20,16,0,0,1,0,1,1,46,19,24,11,2,19,4,1,0,0,0
Sampaio Corrêa - Paraná 1:0,Brazil. Copa do Brasil,23/2/2018,CF,96,49,29,1,0,6,3,2.04,13,13,0,0,0,0,2,1,27,12,15,5,0,16,0,5,3,0,0
Sampaio Corrêa - Ceará 1:0,Brazil. Copa do Nordeste,16/2/2018,CF,96,48,18,0,0,2,1,0.26,10,5,0,0,0,0,3,1,31,11,18,5,1,17,4,2,1,0,0
Sampaio Corrêa - Salgueiro 4:0,Brazil. Copa do Nordeste,8/2/2018,"RW, CF",98,48,24,1,0,3,3,1.17,17,12,4,2,0,0,0,0,18,8,9,3,5,14,7,6,3,0,0
CSA - Sampaio Corrêa 1:1,Brazil. Copa do Nordeste,18/1/2018,LW,29,16,9,0,0,1,0,0.07,8,6,2,1,0,0,0,0,5,3,1,1,2,3,1,2,1,0,0
Sampaio Corrêa - Fortaleza 2:2,Brazil. Serie C,7/10/2017,"CF, RAMF",59,39,24,0,0,1,1,0.06,26,19,0,0,0,0,1,0,9,4,2,2,3,9,2,0,0,0,0
Fortaleza - Sampaio Corrêa 1:0,Brazil. Serie C,3/10/2017,CF,39,19,8,0,0,1,0,0,7,5,0,0,0,0,1,1,8,3,2,1,2,4,2,0,0,0,0
Remo - Sampaio Corrêa 1:2,Brazil. Serie C,2/9/2017,CF,97,44,23,1,0,2,2,0.54,14,8,1,0,0,0,5,2,26,13,7,4,1,11,2,1,0,0,0
Sampaio Corrêa - Remo 1:1,Brazil. Serie C,4/7/2017,RAMF,7,6,4,0,0,1,0,0.03,3,3,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0
Confiança - Sampaio Corrêa 2:2,Brazil. Serie C,13/6/2017,"CF, LAMF",57,17,9,1,0,2,2,0.52,4,4,0,0,0,0,0,0,9,3,4,1,0,1,0,1,1,0,0
Moto Club MA - Sampaio Corrêa 1:2,Brazil. Serie C,13/5/2017,RW,69,31,20,1,0,1,1,0.44,19,16,0,0,0,0,0,0,8,2,7,2,1,10,0,4,3,0,0
Bahia - Altos 3:0,Brazil. Copa do Nordeste,3/3/2017,LAMF,25,14,5,0,0,1,1,0.06,7,4,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0
Altos - Bahia 0:0,Brazil. Copa do Nordeste,12/2/2017,"LW, RW",59,38,19,0,0,0,0,0,14,11,3,2,1,0,1,0,18,7,2,2,3,8,0,4,1,0,0
Altos - Fortaleza 1:1,Brazil. Copa do Nordeste,5/2/2017,RWB,27,24,8,0,0,0,0,0,10,5,0,0,4,0,4,2,11,3,1,0,1,9,2,1,0,80,0
