Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
Negeri Sembilan - Pahang 3:0,Malaysia. Super League,25/6/2022,CF,96,49,26,1,0,4,2,0.81,12,10,2,2,1,1,3,3,24,14,5,2,1,10,1,7,6,0,0
Melaka United - Negeri Sembilan 0:0,Malaysia. Super League,18/6/2022,CF,98,71,33,0,0,5,1,0.48,20,17,1,1,0,0,7,4,39,14,7,2,4,13,3,6,5,0,0
Kagoshima United - Grulla Morioka 1:2,Japan. J3 League,11/9/2021,CF,67,46,16,0,0,2,1,0.48,11,9,1,1,1,1,2,0,26,6,7,2,0,10,1,2,1,0,0
Imabari - Kagoshima United 1:2,Japan. J3 League,3/7/2021,CF,31,19,9,0,0,2,1,0.07,4,4,0,0,0,0,0,0,11,4,2,0,0,3,0,0,0,0,0
Gifu - Kagoshima United 1:0,Japan. J3 League,27/6/2021,AMF,40,29,12,0,0,1,0,0.13,6,6,0,0,0,0,3,2,15,5,3,0,1,8,3,1,0,0,0
Kagoshima United - Fujieda MYFC 0:3,Japan. J3 League,15/5/2021,CF,74,39,9,0,0,1,0,0.02,9,8,0,0,0,0,1,0,19,1,5,1,1,7,2,0,0,0,0
Grulla Morioka - Kagoshima United 2:1,Japan. J3 League,2/5/2021,CF,31,27,17,0,0,0,0,0,12,12,0,0,0,0,1,1,13,5,3,0,0,4,1,0,0,0,0
UiTM - Petaling Jaya City 2:4,Malaysia. Super League,2/10/2020,CF,100,54,24,2,0,6,4,1.8,11,10,0,0,0,0,4,2,23,8,6,2,3,12,0,1,0,0,0
Selangor - UiTM 3:3,Malaysia. Super League,26/9/2020,CF,100,61,20,2,0,2,2,0.65,11,8,1,1,1,1,6,2,35,8,10,1,1,17,4,1,1,82,0
UiTM - Terengganu 2:1,Malaysia. Super League,19/9/2020,CF,90,68,25,0,0,3,0,0.23,26,17,3,0,3,0,3,2,27,7,12,1,3,20,2,5,5,0,0
Perak - UiTM 1:0,Malaysia. Super League,11/9/2020,CF,50,35,10,0,0,2,0,0.34,5,3,1,1,2,0,6,3,22,7,4,2,0,8,0,1,1,0,0
Bahia de Feira - Vit�ria da Conquista 2:1,Brazil. Baiano 1,31/3/2019,CF,62,34,13,1,0,1,1,0.25,8,6,0,0,1,1,2,1,21,6,5,1,0,10,2,1,1,0,0
Vit�ria - Vit�ria da Conquista 1:0,Brazil. Baiano 1,25/1/2019,CF,96,58,24,0,0,0,0,0,22,16,1,0,3,1,3,2,30,8,11,1,1,8,2,6,2,54,0
Marilia U20 - Cruzeiro U20 1:2,Brazil. S�o Paulo Youth Cup,6/1/2016,CF,16,10,2,0,0,0,0,0,1,0,0,0,1,0,1,0,8,2,1,1,0,5,0,0,0,0,0
