Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Horsens - Midtjylland 1:3,Denmark. Superliga,2018-12-16,GK,95,3,4.0,8,5,3,4,8,6,22,21,4,1,3
AaB - Horsens 2:4,Denmark. Superliga,2018-12-09,GK,96,2,2.19,9,7,3,3,5,4,10,10,7,3,4
Horsens - København 1:6,Denmark. Superliga,2018-12-02,GK,74,6,2.64,7,1,1,1,7,4,5,5,9,2,7
Horsens Res. - Viborg Res. 3:0,Denmark. Reserve League,2018-10-08,GK,84,0,0.14,2,2,0,1,7,6,17,17,4,1,3
AGF Res. - Horsens Res. 3:2,Denmark. Reserve League,2018-09-11,GK,91,3,1.22,5,2,2,1,12,7,17,17,8,5,3
SønderjyskE - Horsens 2:0,Denmark. Superliga,2018-07-27,GK,95,2,0.92,4,2,1,0,8,5,8,8,7,2,5
Horsens - Randers 1:1,Denmark. Superliga,2018-07-22,GK,98,1,2.13,6,5,5,1,7,5,7,7,13,2,11
Fremad Amager - Thisted 0:0,Denmark. 1st Division,2018-05-16,GK,75,0,0.45,3,3,1,2,10,8,14,13,6,0,6
Thisted - Vendsyssel 1:3,Denmark. 1st Division,2018-05-12,GK,94,3,2.01,6,3,2,3,6,3,6,6,11,1,10
Thisted - Viborg 0:3,Denmark. 1st Division,2018-04-20,GK,86,3,3.02,7,4,1,2,12,7,8,8,10,0,10
Esbjerg - Thisted 2:0,Denmark. 1st Division,2018-04-15,GK,94,2,1.1,5,3,1,1,9,7,9,9,5,0,5
Thisted - HB Køge 0:1,Denmark. 1st Division,2018-04-08,GK,96,1,0.61,3,2,1,1,13,9,16,15,6,0,6
Skive - Thisted 1:1,Denmark. 1st Division,2018-04-02,GK,95,1,0.71,3,2,0,3,8,4,8,8,8,0,8
Thisted - Fredericia 1:1,Denmark. 1st Division,2018-03-29,GK,97,1,0.31,1,0,0,0,3,2,10,10,14,3,11
Nykøbing - Thisted 3:3,Denmark. 1st Division,2018-03-25,GK,93,3,1.8,9,6,0,3,13,6,8,8,17,2,15
Thisted - Esbjerg 0:3,Denmark. 1st Division,2018-03-18,GK,92,3,2.76,7,4,1,0,2,0,14,14,10,5,5
HB Køge - Thisted 3:2,Denmark. 1st Division,2018-03-11,GK,90,3,2.66,8,5,3,1,12,5,16,16,6,1,5
Vejle - Thisted 0:0,Denmark. 1st Division,2018-03-02,GK,99,0,2.33,8,8,5,0,3,2,8,8,18,1,17
Thisted - Fremad Amager 2:1,Denmark. 1st Division,2017-11-26,GK,89,1,0.8,3,2,2,0,5,0,10,10,7,0,7
Vendsyssel - Thisted 4:1,Denmark. 1st Division,2017-11-13,GK,93,4,1.47,4,0,0,0,11,5,8,8,14,5,9
Thisted - Skive 2:1,Denmark. 1st Division,2017-11-05,GK,94,1,1.23,4,3,1,5,9,7,6,6,10,1,9
Viborg - Thisted 2:2,Denmark. 1st Division,2017-10-29,GK,94,2,2.88,6,4,2,8,10,3,9,9,7,1,6
Thisted - Nykøbing 0:1,Denmark. 1st Division,2017-10-22,GK,94,1,2.62,5,4,2,2,10,7,20,20,11,5,6
Thisted - Brabrand 2:2,Denmark. 1st Division,2017-10-15,GK,97,2,0.93,4,2,0,2,6,4,15,15,5,1,4
Fredericia - Thisted 1:3,Denmark. 1st Division,2017-10-08,GK,79,1,0.71,7,6,4,3,9,4,11,10,10,0,10
Skive - Thisted 1:2,Denmark. 1st Division,2017-10-01,GK,99,1,1.97,8,7,5,5,12,4,9,9,9,5,4
Thisted - Vejle 1:1,Denmark. 1st Division,2017-09-24,GK,96,1,0.5,5,4,0,2,11,5,12,11,12,1,11
Nykøbing - Thisted 1:2,Denmark. 1st Division,2017-09-17,GK,94,1,1.2,4,3,3,3,10,3,7,7,21,0,21
Fremad Amager - Thisted 0:2,Denmark. 1st Division,2017-09-10,GK,93,0,0.24,5,5,3,1,8,4,7,7,16,0,16
Thisted - HB Køge 2:0,Denmark. 1st Division,2017-09-03,GK,96,0,1.4,4,4,4,4,14,8,5,4,12,0,12
Brabrand - Thisted 2:2,Denmark. 1st Division,2017-08-27,GK,96,2,2.01,7,5,1,2,9,3,12,11,4,0,4
Thisted - Vendsyssel 1:2,Denmark. 1st Division,2017-08-23,GK,95,2,1.8,7,5,1,1,8,5,15,15,7,0,7
Esbjerg - Thisted 1:2,Denmark. 1st Division,2017-08-20,GK,94,1,0.84,6,5,1,3,16,12,5,5,14,1,13
Thisted - Fredericia 1:3,Denmark. 1st Division,2017-08-13,GK,94,3,2.73,7,4,2,2,8,3,5,5,9,1,8
Roskilde - Thisted 2:3,Denmark. 1st Division,2017-08-06,GK,95,2,1.58,5,3,3,3,13,6,10,9,10,2,8
Thisted - Viborg 2:1,Denmark. 1st Division,2017-07-30,GK,97,1,0.84,3,2,0,3,13,8,13,13,10,0,10
