Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
Mafra - Vilaverdense 1:0,Portugal. Segunda Liga,18/11/2023,LCB,96,68,44,0,0,1,0,0.14,41,30,9,3,0,0,2,2,17,12,7,3,4,8,0,12,1,0,0
Vilaverdense - Tondela 1:2,Portugal. Segunda Liga,12/11/2023,LCB,102,52,34,0,0,0,0,0,30,27,6,3,0,0,1,1,14,5,9,2,4,9,2,6,0,0,0
CF Os Belenenses - Vilaverdense 0:2,Portugal. Segunda Liga,4/11/2023,LCB,100,47,21,0,0,1,1,0.09,24,14,5,2,0,0,0,0,10,6,6,2,7,9,4,5,0,0,0
Vilaverdense - Porto II 0:5,Portugal. Segunda Liga,30/10/2023,LCB,94,46,33,0,0,0,0,0,31,29,1,1,0,0,0,0,10,4,3,1,6,2,1,2,0,0,0
Paços de Ferreira - Vilaverdense 2:0,Portugal. Segunda Liga,7/10/2023,LCB,97,60,37,0,0,2,1,0.1,39,32,8,4,0,0,0,0,10,4,4,2,5,7,2,4,0,0,0
Vilaverdense - Benfica II 1:4,Portugal. Segunda Liga,29/9/2023,LCB,100,65,43,0,0,1,0,0.11,37,31,7,3,0,0,0,0,19,12,8,5,7,7,2,10,0,61,0
AVS  - Vilaverdense 2:0,Portugal. Segunda Liga,16/9/2023,LCB,99,38,20,0,0,0,0,0,18,12,3,0,0,0,0,0,12,6,4,1,4,8,3,4,2,0,0
Sabail - Shamakhi FK 1:0,Azerbaijan. Premyer Liqa,27/5/2023,RCB,105,38,19,0,0,2,1,0.16,16,13,2,1,0,0,0,0,9,5,6,4,9,4,2,6,0,44,0
Turan-T - Sabail 2:2,Azerbaijan. Premyer Liqa,22/5/2023,RCB,55,28,19,0,1,3,1,0.34,14,9,2,1,0,0,0,0,8,7,1,1,1,6,1,1,0,0,0
Qabala - Sabail 4:2,Azerbaijan. Premyer Liqa,1/5/2023,RCB,96,52,32,0,0,1,0,0.14,33,27,5,3,0,0,0,0,10,2,4,0,10,7,2,9,1,0,0
Sabail - Qabala 0:1,Azerbaijan. Cup,27/4/2023,LCB,94,69,44,0,0,1,0,0.12,40,33,6,5,1,0,0,0,16,9,3,2,6,11,6,14,4,80,89
Qabala - Sabail 3:2,Azerbaijan. Cup,18/4/2023,RCB,96,39,15,0,1,0,0,0,19,12,6,1,0,0,0,0,8,2,3,0,10,8,1,6,0,0,0
Zira - Sabail 3:1,Azerbaijan. Premyer Liqa,14/4/2023,RCB,101,61,44,0,0,0,0,0,40,33,14,7,0,0,1,1,11,9,3,2,2,12,6,7,1,0,0
Sabail - Sabah 2:1,Azerbaijan. Premyer Liqa,8/4/2023,LCB,98,60,37,0,0,0,0,0,39,25,13,3,0,0,0,0,16,11,7,3,4,14,6,9,0,0,0
Kapaz - Sabail 1:0,Azerbaijan. Premyer Liqa,1/4/2023,RCB,96,38,16,0,0,1,0,0.17,12,7,4,1,0,0,1,1,12,8,6,4,8,5,2,9,1,0,0
Sabail - Sumqayıt 0:1,Azerbaijan. Premyer Liqa,4/3/2023,RCB,70,37,22,0,0,0,0,0,20,15,3,2,0,0,0,0,10,6,1,0,2,3,2,9,1,0,63
Sabail - Qabala 2:2,Azerbaijan. Premyer Liqa,24/2/2023,RCB,95,70,49,0,0,1,1,0.23,47,37,8,6,0,0,0,0,12,9,4,4,11,14,5,15,4,0,0
