Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Persebaya Surabaya - Persikabo 1973 3:2,Indonesia. Liga 1,2023-03-25,GK,98,2,1.33,2,0,0,0,2,2,8,8,5,3,2
Persik Kediri - Persebaya Surabaya 1:0,Indonesia. Liga 1,2023-03-18,GK,98,1,1.43,5,4,2,2,5,3,13,13,6,3,3
Persebaya Surabaya - Persib 2:2,Indonesia. Liga 1,2023-03-13,GK,96,2,1.24,5,3,3,4,3,0,1,1,11,5,6
Barito Putera - Persebaya Surabaya 2:1,Indonesia. Liga 1,2023-03-09,GK,99,2,1.96,4,2,0,4,3,3,5,5,10,4,6
Rans Nusantara - Persebaya Surabaya 2:2,Indonesia. Liga 1,2023-02-28,GK,97,2,2.27,8,6,1,1,1,0,6,6,8,4,4
Bali United - Persebaya Surabaya 4:0,Indonesia. Liga 1,2023-02-18,GK,95,4,0.84,5,1,0,0,4,3,16,15,8,5,3
Persebaya Surabaya - PSS Sleman 4:2,Indonesia. Liga 1,2023-02-13,GK,96,2,1.64,4,2,1,1,2,1,12,12,8,5,3
Persebaya Surabaya - Borneo FC 3:2,Indonesia. Liga 1,2023-02-03,GK,99,2,0.97,3,1,1,5,1,0,12,12,10,10,0
Madura United - Persebaya Surabaya 0:2,Indonesia. Liga 1,2023-01-29,GK,95,0,0.97,4,4,3,7,2,1,11,11,2,2,0
Persebaya Surabaya - Bhayangkara F.C. 2:1,Indonesia. Liga 1,2023-01-23,GK,98,1,0.1,4,3,2,2,4,4,18,18,5,4,1
Persita - Persebaya Surabaya 0:5,Indonesia. Liga 1,2023-01-18,GK,99,0,0.46,4,4,2,1,8,6,8,8,14,12,2
Dewa United - Persebaya Surabaya 1:2,Indonesia. Liga 1,2022-12-24,GK,99,1,1.29,5,4,2,2,3,1,7,6,15,6,9
Persebaya Surabaya - Persis Solo 0:0,Indonesia. Liga 1,2022-12-21,GK,96,0,2.45,6,6,5,2,3,1,9,9,9,5,4
Persija - Persebaya Surabaya 1:1,Indonesia. Liga 1,2022-12-16,GK,96,1,0.72,4,3,2,2,1,1,10,10,8,6,2
Persebaya Surabaya - Persik Kediri 1:1,Indonesia. Liga 1,2022-12-13,GK,95,1,1.3,4,3,0,1,8,7,10,10,6,4,2
Persib - Persebaya Surabaya 2:1,Indonesia. Liga 1,2022-12-10,GK,98,2,1.69,7,5,3,2,4,4,8,7,6,4,2
Persebaya Surabaya - Barito Putera 3:2,Indonesia. Liga 1,2022-12-06,GK,98,2,1.85,8,6,6,1,5,3,11,11,9,5,4
Malaysia U23 - Indonesia U23 1:1 (P),Asia. Southeast Asian Games,2022-05-22,GK,96,1,1.37,7,6,3,2,5,4,9,9,15,4,11
Thailand U23 - Indonesia U23 1:0 (E),Asia. Southeast Asian Games,2022-05-19,GK,136,1,0.6,3,2,0,2,3,1,10,10,15,12,3
Indonesia U23 - Myanmar U23 3:1,Asia. Southeast Asian Games,2022-05-15,GK,96,1,1.76,5,4,2,3,10,5,5,5,9,7,2
Philippines U23 - Indonesia U23 0:4,Asia. Southeast Asian Games,2022-05-13,GK,94,0,0.42,3,3,1,2,4,3,16,16,6,4,2
Indonesia U23 - Timor-Leste U23 4:1,Asia. Southeast Asian Games,2022-05-10,GK,95,1,1.78,4,3,2,0,2,1,7,7,5,3,2
Bali United - Persebaya Surabaya 0:3,Indonesia. Liga 1,2022-03-25,GK,97,0,0.92,4,4,3,2,5,3,11,11,9,4,5
Persebaya Surabaya - Persib 1:1,Indonesia. Liga 1,2022-03-19,GK,96,1,0.79,5,4,0,0,7,5,13,13,8,3,5
Barito Putera - Persebaya Surabaya 1:1,Indonesia. Liga 1,2022-03-14,GK,98,1,1.25,7,6,3,1,1,1,8,7,9,3,6
Persebaya Surabaya - Persik Kediri 1:0,Indonesia. Liga 1,2022-03-10,GK,98,0,1.75,3,3,3,3,6,4,13,13,11,3,8
Madura United - Persebaya Surabaya 1:2,Indonesia. Liga 1,2022-02-28,GK,99,1,1.34,3,2,2,1,4,3,6,6,9,5,4
Persiraja Banda Aceh - Persebaya Surabaya 0:1,Indonesia. Liga 1,2022-02-19,GK,97,0,0.0,0,0,0,0,2,1,5,5,8,4,4
Persela - Persebaya Surabaya 2:2,Indonesia. Liga 1,2022-02-10,GK,98,2,2.02,7,5,3,4,3,0,13,13,10,3,7
Persebaya Surabaya - Persipura 0:2,Indonesia. Liga 1,2022-02-06,GK,80,2,2.85,8,6,3,0,5,4,8,8,14,5,9
PSIS Semarang - Persebaya Surabaya 0:0,Indonesia. Liga 1,2022-02-02,GK,96,0,0.41,7,7,0,2,3,2,16,16,4,4,0
Indonesia - Timor-Leste 3:0,World. Friendlies,2022-01-30,GK,21,0,0.0,0,0,0,0,0,0,0,0,3,2,1
