Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
1860 München - Greuther Fürth 2:1,Germany. 2. Bundesliga,27/1/2017,CF,17,12,6,0,0,0,0,0,4,3,0,0,0,0,1,0,6,2,1,1,1,3,1,1,1,0,0
Atlético Mineiro - Botafogo 5:3,Brazil. Serie A,1/7/2016,CF,44,19,9,0,0,0,0,0,7,5,0,0,0,0,0,0,10,4,3,1,0,4,0,0,0,0,0
Internacional - Botafogo 2:3,Brazil. Serie A,26/6/2016,CF,96,41,17,0,0,1,0,0.2,10,9,0,0,0,0,4,3,24,7,11,2,3,10,4,2,1,0,0
Botafogo - Figueirense 0:0,Brazil. Serie A,23/6/2016,CF,11,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Corinthians - Botafogo 3:1,Brazil. Serie A,19/6/2016,CF,48,27,12,0,0,0,0,0,8,7,0,0,0,0,3,2,17,5,6,1,1,4,1,1,1,0,0
Botafogo - América Mineiro 3:1,Brazil. Serie A,16/6/2016,CF,24,20,4,0,0,1,0,0.16,2,2,0,0,0,0,1,1,15,2,6,1,0,7,3,0,0,0,0
Botafogo - Vitória 1:1,Brazil. Serie A,12/6/2016,CF,48,28,10,0,0,2,2,0.37,4,3,0,0,0,0,2,0,19,5,6,2,1,8,1,1,1,0,0
Santos - Botafogo 3:0,Brazil. Serie A,5/6/2016,CF,76,29,10,0,0,0,0,0,7,7,0,0,0,0,3,0,14,3,5,1,3,10,3,0,0,0,0
Botafogo - Cruzeiro 0:1,Brazil. Serie A,2/6/2016,CF,76,33,12,0,0,0,0,0,8,7,0,0,0,0,3,1,24,5,13,2,3,11,2,2,1,0,0
Fluminense - Botafogo 1:0,Brazil. Serie A,29/5/2016,CF,96,44,19,0,0,0,0,0,12,11,0,0,1,1,2,0,31,9,11,3,0,14,3,3,2,0,0
Botafogo - Atlético PR 2:1,Brazil. Serie A,25/5/2016,CF,94,37,16,1,0,1,1,0.53,11,7,0,0,1,0,3,3,21,8,9,0,0,13,2,3,1,93,0
Sport Recife - Botafogo 1:1,Brazil. Serie A,22/5/2016,CF,67,39,19,0,0,1,0,0.11,12,10,0,0,1,1,4,2,21,8,3,0,1,9,1,3,3,0,0
Botafogo - Juazeirense 1:0,Brazil. Copa do Brasil,20/5/2016,CF,19,11,6,0,1,0,0,0,5,4,0,0,0,0,0,0,5,2,2,0,0,3,1,1,1,0,0
Botafogo - São Paulo 0:1,Brazil. Serie A,15/5/2016,"CF, RWF",99,61,27,0,0,1,1,0.06,23,16,2,0,4,0,6,2,30,10,7,1,3,12,1,3,2,0,0
Vasco da Gama - Botafogo 1:1,Brazil. Carioca 1,8/5/2016,CF,97,46,10,0,0,2,0,0.02,5,4,0,0,1,0,4,1,33,6,11,3,1,17,2,0,0,0,0
Botafogo - Vasco da Gama 0:1,Brazil. Carioca 1,1/5/2016,CF,101,63,25,0,0,5,1,0.58,15,12,0,0,1,0,6,3,36,12,6,2,1,19,1,2,1,0,0
Coruripe - Botafogo 0:1,Brazil. Copa do Brasil,6/4/2016,CF,25,13,9,0,0,0,0,0,7,6,0,0,1,0,0,0,6,3,0,0,0,4,1,0,0,0,0
Vasco da Gama - Botafogo 1:0,Brazil. Carioca 1,27/3/2016,CF,96,44,13,0,0,4,0,0.39,10,7,0,0,0,0,5,1,23,6,2,0,0,7,1,0,0,0,0
Botafogo - Madureira 1:0,Brazil. Carioca 1,20/3/2016,CF,101,70,29,0,0,3,2,0.24,15,11,1,0,1,0,5,3,40,15,9,3,1,20,3,2,0,0,0
Boavista - Botafogo 0:1,Brazil. Carioca 1,6/3/2016,CF,100,47,17,0,0,3,0,0.31,12,8,0,0,0,0,4,2,25,9,5,2,2,8,1,1,0,0,0
Botafogo - Fluminense 2:0,Brazil. Carioca 1,25/2/2016,CF,94,53,21,1,0,1,1,0.26,10,10,1,1,0,0,2,1,31,10,13,2,1,16,3,2,1,39,0
Botafogo - Cabofriense 2:1,Brazil. Carioca 1,21/2/2016,"AMF, RWF",49,35,21,0,0,2,1,0.13,17,14,3,1,2,1,0,0,11,5,2,0,0,4,0,2,2,0,0
Resende - Botafogo 0:1,Brazil. Carioca 1,13/2/2016,CF,19,11,4,0,0,0,0,0,5,4,0,0,0,0,0,0,4,0,1,0,2,3,0,0,0,0,0
Botafogo - Macaé 1:0,Brazil. Carioca 1,10/2/2016,CF,101,54,28,0,0,2,1,0.31,21,18,0,0,0,0,2,1,24,7,5,2,0,15,3,2,2,0,0
Botafogo - Portuguesa RJ 2:1,Brazil. Carioca 1,2/2/2016,CF,30,7,3,0,0,0,0,0,3,2,0,0,0,0,0,0,4,1,1,0,0,3,2,0,0,0,0
Bangu - Botafogo 0:2,Brazil. Carioca 1,30/1/2016,CF,21,14,5,0,0,2,1,0.15,3,3,0,0,0,0,1,1,7,1,1,0,0,3,0,2,0,0,0
Sobradinho U20 - Botafogo U20 1:3,Brazil. São Paulo Youth Cup,4/1/2016,CF,97,61,31,1,0,6,2,0.71,20,17,0,0,2,1,4,3,31,12,5,3,1,15,1,0,0,0,0
Botafogo U20 - São Paulo U20 3:3,Brazil. Copa do Brasil U20,8/10/2015,CF,93,47,17,0,0,0,0,0,12,9,2,1,0,0,0,0,24,8,10,1,1,13,4,0,0,0,0
