Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
Dewa United - Persija 2:0,Indonesia. Liga 1 23/24,25/8/2023,CF,88,49,13,0,0,0,0,0,13,7,1,0,2,0,3,2,24,6,5,0,1,11,0,3,1,0,0
Rans Nusantara - Dewa United 0:0,Indonesia. Liga 1 23/24,19/8/2023,CF,98,57,28,0,0,2,1,0.35,21,17,1,0,2,0,3,1,28,10,0,0,3,9,2,1,0,0,0
Dewa United - PSIS Semarang 1:4,Indonesia. Liga 1 23/24,14/8/2023,CF,101,33,17,1,0,3,2,0.92,11,10,1,1,0,0,0,0,12,5,5,4,0,6,0,0,0,0,0
Barito Putera - Dewa United 2:1,Indonesia. Liga 1 23/24,9/8/2023,CF,99,58,32,0,0,2,0,0.05,25,20,2,2,0,0,4,2,21,11,2,2,2,9,3,1,1,13,0
Dewa United - Persis Solo 0:0,Indonesia. Liga 1 23/24,4/8/2023,CF,97,27,17,0,0,3,0,0.11,17,14,0,0,0,0,1,1,7,3,2,2,0,6,3,2,1,0,0
Bali United - Dewa United 3:1,Indonesia. Liga 1 23/24,29/7/2023,CF,98,44,20,0,0,3,0,0.24,12,9,0,0,0,0,5,1,24,11,7,3,0,13,3,1,1,0,0
Dewa United - Persik Kediri 3:0,Indonesia. Liga 1 23/24,21/7/2023,"CF, RWF",95,38,16,2,0,6,3,0.98,8,7,0,0,0,0,5,2,15,6,2,2,2,5,1,1,1,0,0
Persib - Dewa United 2:2,Indonesia. Liga 1 23/24,14/7/2023,CF,98,32,14,1,0,2,2,0.57,13,10,0,0,0,0,0,0,14,2,3,0,1,8,1,1,1,81,0
PSM - Dewa United 1:2,Indonesia. Liga 1 23/24,8/7/2023,CF,99,32,13,1,0,3,1,0.22,8,6,0,0,1,0,2,2,15,5,2,1,2,3,0,0,0,0,0
Dewa United - Arema 1:0,Indonesia. Liga 1 23/24,2/7/2023,CF,98,52,25,1,0,5,3,0.47,15,10,1,1,1,0,1,1,22,10,3,3,2,9,0,5,2,0,0
Bhayangkara F.C. - Barito Putera 1:1,Indonesia. Liga 1 22/23,5/4/2023,CF,96,57,26,1,0,3,1,0.91,20,17,0,0,2,1,4,3,19,7,4,1,0,7,1,1,1,90,0
