Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
Mjøndalen - Nest-Sotra 3:3,Norway. Obos Ligaen,2018-06-26,RW,64,54,26,1,0,2,2,0.05,20,16,0,0,1,0,3,2,21,7,3,0,2,7,1,3,1,58,0
Levanger - Mjøndalen 0:4,Norway. Obos Ligaen,2018-06-17,CF,74,56,22,1,0,3,2,0.21,16,12,1,0,0,0,3,1,33,8,4,0,2,8,2,0,0,0,0
Mjøndalen - Haugesund 2:2 (P),Norway. NM Cupen,2018-06-13,CF,126,75,44,0,0,2,1,0.04,35,29,2,1,1,0,4,0,30,14,8,4,0,15,4,0,0,86,0
Mjøndalen - HamKam 2:1,Norway. Obos Ligaen,2018-06-10,0,7,10,4,1,0,1,1,0.11,1,1,0,0,0,0,1,0,4,1,0,0,1,2,1,1,0,0,0
Kongsvinger - Mjøndalen 0:1,Norway. Obos Ligaen,2018-05-13,RW,97,81,40,0,0,4,1,0.31,32,24,1,1,3,1,5,3,30,13,4,1,3,13,1,8,5,0,0
Aalesund - Mjøndalen 2:1,Norway. Obos Ligaen,2018-05-06,LW,21,3,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,2,2,1,1,0,1,1,1,0,0,0
Jerv - Mjøndalen 0:0,Norway. Obos Ligaen,2018-04-22,"CF, RWF",58,44,15,0,0,0,0,0.0,7,5,1,1,0,0,2,1,25,9,4,1,4,10,4,3,2,0,0
Mjøndalen - Sogndal 0:0,Norway. Obos Ligaen,2018-04-14,"CF, LW, RW",88,67,34,0,0,0,0,0.0,16,13,1,1,0,0,8,4,46,20,11,0,2,18,4,4,3,0,0
Viking - Mjøndalen 0:2,Norway. Obos Ligaen,2018-04-10,RWF,57,53,23,0,0,4,0,0.21,22,18,1,1,2,0,0,0,23,4,6,0,2,10,4,3,1,0,0
Oman - Palestine 1:0,Asia. AFC Asian Cup Qualification,2018-03-27,"CF, RW",23,22,9,0,0,1,0,0.02,5,4,0,0,1,1,2,0,11,5,0,0,1,4,0,0,0,0,0
Lokomotiv Moskva - Kalmar 1:1,World. Club Friendlies,2018-02-05,RAMF,26,22,7,0,0,0,0,0.0,4,4,0,0,0,0,0,0,11,3,3,1,0,3,2,1,0,79,0
Nybro - Kalmar 1:5,Sweden. Svenska Cupen,2017-08-24,LAMF,67,69,33,2,0,3,2,0.89,23,16,1,0,5,0,8,5,31,14,4,1,1,10,1,2,2,45,0
Kalmar - IFK Göteborg 1:0,Sweden. Allsvenskan,2017-08-06,RW,29,17,8,0,0,0,0,0.0,6,2,0,0,0,0,2,1,7,4,0,0,1,7,2,2,0,0,0
AIK - Kalmar 0:1,Sweden. Allsvenskan,2017-07-30,CF,31,26,10,0,0,0,0,0.0,7,6,1,1,1,0,2,1,13,4,1,0,1,4,2,2,1,0,0
Kalmar - AFC Eskilstuna 2:0,Sweden. Allsvenskan,2017-07-23,0,6,4,2,0,0,0,0,0.0,2,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
Kalmar - AIK 0:1,Sweden. Allsvenskan,2017-07-09,LAMF,96,58,29,0,0,2,1,0.24,17,15,0,0,1,1,3,1,30,13,7,2,5,15,4,4,2,16,0
Kalmar - Örebro 0:1,Sweden. Allsvenskan,2017-06-03,RW,17,22,14,0,0,1,0,0.24,7,5,0,0,0,0,1,1,11,8,4,4,0,3,1,6,2,0,0
Kalmar - GIF Sundsvall 3:0,Sweden. Allsvenskan,2017-05-27,RW,10,9,8,0,0,1,1,0.32,2,2,0,0,0,0,2,1,6,5,1,1,1,1,0,2,1,0,0
Östersunds FK - Kalmar 2:1,Sweden. Allsvenskan,2017-05-20,"LAMF, RAMF, RWF, CF",96,68,33,0,0,2,0,0.1,25,17,2,1,2,1,3,2,31,12,2,1,2,9,4,3,1,86,0
Norrköping - Kalmar 2:0,Sweden. Allsvenskan,2017-05-16,"RCMF, RW",64,44,25,0,0,2,0,0.14,16,12,0,0,2,0,4,3,23,13,2,0,2,12,5,5,1,0,0
Kalmar - Häcken 0:1,Sweden. Allsvenskan,2017-05-13,CF,96,64,33,0,0,1,1,0.15,22,19,1,1,2,1,6,3,34,12,7,1,0,10,2,2,1,0,0
IFK Göteborg - Kalmar 3:0,Sweden. Allsvenskan,2017-05-07,"LW, CF",58,31,11,0,0,2,0,0.08,11,7,1,0,4,1,0,0,11,2,2,0,1,7,3,1,0,0,0
Kalmar - Halmstad 2:0,Sweden. Allsvenskan,2017-05-01,CF,94,76,31,0,0,5,0,0.34,23,13,2,0,4,0,10,5,38,17,5,2,2,22,4,7,1,0,0
Kalmar - Malmö FF 0:0,Sweden. Allsvenskan,2017-04-27,"RW, CF",90,86,41,0,0,1,0,0.09,31,22,2,1,2,1,5,3,42,15,10,3,0,12,2,6,4,0,0
Sirius - Kalmar 3:0,Sweden. Allsvenskan,2017-04-24,CF,93,54,24,0,0,2,1,0.4,14,12,1,1,1,0,0,0,25,8,11,3,2,12,2,3,2,61,0
Kalmar - Jönköpings Södra 1:3,Sweden. Allsvenskan,2017-04-17,"LW, RW, RWB",78,55,28,0,0,1,1,0.02,29,20,1,0,7,0,4,1,22,7,2,0,3,10,3,1,0,0,0
Hammarby - Kalmar 1:1,Sweden. Allsvenskan,2017-04-09,RW,9,8,4,0,0,2,0,0.12,2,2,1,1,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0
Odd - Kalmar 3:1,World. Club Friendlies,2017-01-30,RW,45,31,18,0,0,2,1,0.12,15,13,0,0,0,0,2,1,11,4,0,0,3,5,1,5,2,0,0
AIK - Kalmar 3:1,Sweden. Allsvenskan,2016-11-06,RW,17,18,12,0,0,2,2,0.04,7,7,0,0,0,0,1,1,8,3,0,0,0,2,0,1,1,0,0
Kalmar - GIF Sundsvall 2:0,Sweden. Allsvenskan,2016-10-30,CF,17,8,1,0,0,2,0,0.12,0,0,0,0,0,0,1,0,5,1,0,0,0,2,0,1,1,0,0
Häcken - Kalmar 2:3,Sweden. Allsvenskan,2016-10-23,CF,58,38,19,0,0,2,2,0.1,15,10,0,0,1,0,1,1,17,7,7,3,0,6,2,0,0,30,0
Örebro - Kalmar 2:1,Sweden. Allsvenskan,2016-10-16,RW,10,4,2,0,0,0,0,0.0,2,2,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0
Kalmar - IFK Göteborg 4:2,Sweden. Allsvenskan,2016-10-02,CF,25,30,14,1,0,2,1,0.04,12,9,0,0,0,0,1,0,12,3,0,0,0,5,0,0,0,0,0
Jönköpings Södra - Kalmar 0:1,Sweden. Allsvenskan,2016-09-24,CF,31,25,13,0,0,0,0,0.0,11,11,1,1,0,0,0,0,9,2,3,1,1,4,1,0,0,0,0
Kalmar - Falkenberg 3:0,Sweden. Allsvenskan,2016-09-21,AMF,24,23,12,0,0,1,0,0.04,10,9,0,0,0,0,1,0,10,2,0,0,0,2,1,1,0,0,0
Kalmar - Östersunds FK 2:0,Sweden. Allsvenskan,2016-09-17,CF,20,27,18,0,0,1,1,0.04,13,10,2,2,2,1,2,2,11,6,1,0,1,8,1,3,3,0,0
Kalmar - Norrköping 0:1,Sweden. Allsvenskan,2016-08-27,CF,68,57,32,0,0,2,2,0.02,21,18,0,0,0,0,1,1,28,11,1,0,1,9,4,3,3,67,0
Helsingborg - Kalmar 0:1,Sweden. Allsvenskan,2016-08-20,CF,75,56,37,1,0,2,1,0.63,29,25,1,0,1,0,5,2,20,11,6,3,1,14,3,3,1,0,0
Örgryte - Åtvidaberg 3:3,Sweden. Superettan,2016-08-02,RW,95,70,29,0,1,3,2,0.33,29,16,5,1,3,1,9,2,31,11,5,3,3,22,4,5,2,37,0
Assyriska - Åtvidaberg 4:0,Sweden. Superettan,2016-07-30,"CF, LW, RW",96,71,36,0,0,1,1,0.06,32,24,4,1,6,3,6,0,29,10,7,0,4,14,4,7,1,0,0
Åtvidaberg - Ljungskile 3:2,Sweden. Superettan,2016-07-23,RW,90,51,31,2,0,3,3,0.52,17,14,2,0,1,0,4,1,21,11,2,1,4,16,5,0,0,0,0
