Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
Rans Nusantara - Persib 0:4,Indonesia. Liga 1 23/24,3/3/2024,RCB,97,55,37,0,0,0,0,0,30,28,3,2,0,0,0,0,11,6,3,2,8,8,6,4,1,0,0
Barito Putera - Persib 1:1,Indonesia. Liga 1 23/24,23/2/2024,RCB,98,65,41,0,0,0,0,0,41,35,5,3,0,0,0,0,14,6,8,2,5,9,4,9,0,45,0
Bali United - Persib 0:0,Indonesia. Liga 1 23/24,18/12/2023,RCB,102,57,37,0,0,0,0,0,26,23,5,3,0,0,0,0,20,12,6,4,3,2,2,11,2,28,0
Persib - Persik Kediri 0:2,Indonesia. Liga 1 23/24,10/12/2023,RCB,98,62,52,0,0,0,0,0,47,43,3,2,0,0,0,0,11,9,2,2,4,5,4,12,1,0,0
Persib - PSM 0:0,Indonesia. Liga 1 23/24,4/12/2023,RCB,100,63,44,0,0,0,0,0,37,32,9,7,1,0,0,0,17,11,9,6,5,8,5,13,1,88,0
Dewa United - Persib 1:5,Indonesia. Liga 1 23/24,26/11/2023,RCB,99,46,32,0,0,0,0,0,27,22,5,3,0,0,0,0,7,6,1,1,9,9,8,9,1,0,0
Persib - Arema 2:2,Indonesia. Liga 1 23/24,8/11/2023,RCB,97,64,43,0,0,2,0,0.23,34,28,10,6,0,0,1,1,20,14,2,1,3,5,1,16,2,0,0
Madura United - Persib 0:1,Indonesia. Liga 1 23/24,1/11/2023,RCB,98,58,40,1,0,1,1,0.24,32,27,9,7,0,0,1,1,12,9,2,2,6,4,2,10,0,72,0
Borneo FC - Persib 1:1,Indonesia. Liga 1 23/24,21/10/2023,RCB,98,63,34,0,0,0,0,0,28,20,9,5,1,0,0,0,25,14,10,5,4,12,4,7,0,82,0
Persebaya Surabaya - Persib 2:3,Indonesia. Liga 1 23/24,7/10/2023,RCB,100,34,18,0,0,0,0,0,16,9,8,4,0,0,2,1,9,5,1,1,0,6,1,5,0,0,0
Persib - Persita 5:0,Indonesia. Liga 1 23/24,1/10/2023,RCB,95,58,38,0,0,0,0,0,39,30,10,5,0,0,0,0,6,5,3,3,10,8,1,12,1,0,0
Bhayangkara F.C. - Persib 1:2,Indonesia. Liga 1 23/24,23/9/2023,"LCB, RCB",100,72,51,0,0,1,0,0.09,45,40,8,5,0,0,0,0,16,10,5,4,8,3,2,15,5,87,0
Persib - Persikabo 1973 2:0,Indonesia. Liga 1 23/24,16/9/2023,"LCB, RCB",97,73,53,0,0,0,0,0,51,47,7,3,0,0,0,0,12,5,2,1,6,4,2,14,1,0,0
Persija - Persib 1:1,Indonesia. Liga 1 23/24,2/9/2023,RCB,99,54,30,0,0,0,0,0,29,21,5,1,0,0,0,0,16,7,8,2,3,12,7,9,1,0,0
Persib - Rans Nusantara 2:1,Indonesia. Liga 1 23/24,26/8/2023,RCB,98,42,21,0,0,0,0,0,13,10,1,0,0,0,0,0,15,8,4,2,6,6,5,11,1,0,0
PSIS Semarang - Persib 1:2,Indonesia. Liga 1 23/24,20/8/2023,RCB,100,56,43,0,0,0,0,0,45,37,9,6,0,0,0,0,8,6,2,2,4,8,5,14,0,5,0
Persib - Barito Putera 1:1,Indonesia. Liga 1 23/24,13/8/2023,RCB,97,56,36,0,0,1,0,0.09,31,28,5,3,0,0,0,0,18,8,11,5,4,6,3,8,1,0,0
Persib - Bali United 0:0,Indonesia. Liga 1 23/24,3/8/2023,RCB,98,53,36,0,0,0,0,0,29,26,5,3,0,0,0,0,14,8,8,5,5,3,2,12,0,0,0
Persik Kediri - Persib 1:2,Indonesia. Liga 1 23/24,28/7/2023,RCB,96,76,55,0,0,0,0,0,50,42,7,4,0,0,0,0,15,11,10,8,10,13,6,16,5,0,0
PSM - Persib 4:2,Indonesia. Liga 1 23/24,22/7/2023,RCB,96,86,63,0,0,2,1,0.1,56,46,13,10,0,0,0,0,21,14,8,4,6,13,7,14,1,0,0
Persib - Dewa United 2:2,Indonesia. Liga 1 23/24,14/7/2023,"RCB, RCB3",98,44,30,0,0,0,0,0,34,27,8,3,1,0,0,0,4,2,0,0,4,5,1,6,3,0,0
Arema - Persib 3:3,Indonesia. Liga 1 23/24,7/7/2023,RCB3,99,74,44,0,0,0,0,0,42,31,8,3,1,0,1,1,19,11,4,3,6,9,4,8,4,85,0
Persita - Persib 4:0,Indonesia. Liga 1 22/23,9/4/2023,RCB,96,78,46,0,0,0,0,0,41,29,19,10,0,0,2,1,21,13,4,3,3,16,7,10,1,71,0
