Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Barito Putera - Pusamania Borneo 1:0,Indonesia. Liga 1,2018-11-30,GK,98,0,0.7,4,4,2,1,4,2,0,0,12,0,12
Arema - Barito Putera 3:1,Indonesia. Liga 1,2018-11-24,GK,99,3,2.91,6,3,2,2,4,3,4,4,19,11,8
Barito Putera - Mitra Kukar 2:1,Indonesia. Liga 1,2018-11-17,GK,97,1,0.34,3,2,1,1,4,2,3,2,12,2,10
Sriwijaya - Barito Putera 2:0,Indonesia. Liga 1,2018-11-12,GK,97,2,1.73,7,5,3,9,7,3,6,6,10,4,6
Barito Putera - PS TIRA 3:1,Indonesia. Liga 1,2018-11-05,GK,92,1,1.18,6,5,1,3,1,0,9,9,10,3,7
Indonesia U19 - UAE U19 1:0,Asia. AFC U19 Championship,2018-10-24,GK,102,0,0.07,3,3,0,4,4,0,5,5,9,5,4
Qatar U19 - Indonesia U19 6:5,Asia. AFC U19 Championship,2018-10-21,GK,98,6,3.31,10,4,3,0,0,0,12,11,6,3,3
Indonesia U19 - Chinese Taipei U19 3:1,Asia. AFC U19 Championship,2018-10-18,GK,95,1,0.41,2,1,0,0,0,0,9,8,5,4,1
Indonesia U19 - Scotland U20 1:2,World. World Youth Festival Toulon Maurice Revello,2017-06-06,GK,86,2,2.23,9,7,3,5,11,3,14,11,14,3,11
Czech Republic U19 - Indonesia U19 2:0,World. World Youth Festival Toulon Maurice Revello,2017-06-03,GK,84,2,1.74,6,4,2,1,4,4,13,12,19,10,9
Brazil U20 - Indonesia U19 1:0,World. World Youth Festival Toulon Maurice Revello,2017-05-31,GK,85,1,1.31,7,6,2,1,11,7,22,21,13,13,0
