Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Cambuur - Almere City 7:2,Netherlands. Eerste Divisie,2020-11-15,GK,93,2,0.96,2,0,0,3,4,2,21,21,4,3,1
Cambuur - Ajax II 2:3,Netherlands. Eerste Divisie,2020-11-07,GK,97,3,1.21,5,2,2,0,10,6,13,13,6,2,4
Cambuur - Roda JC 3:0,Netherlands. Eerste Divisie,2020-10-23,GK,98,0,0.13,3,3,0,2,15,10,13,11,16,6,10
NAC Breda - Cambuur 0:4,Netherlands. Eerste Divisie,2020-10-20,GK,95,0,0.37,3,3,1,1,7,6,13,13,1,1,0
Cambuur - Dordrecht 5:0,Netherlands. Eerste Divisie,2020-10-11,GK,94,0,0.06,1,1,0,1,6,3,17,17,3,1,2
Helmond Sport - Cambuur 1:5,Netherlands. Eerste Divisie,2020-10-06,GK,93,1,0.65,1,0,0,0,6,5,18,18,7,5,2
Cambuur - Utrecht U23 5:2,Netherlands. Eerste Divisie,2020-09-25,GK,97,2,2.3,5,3,1,2,5,4,20,19,3,3,0
TOP Oss - Cambuur 2:2,Netherlands. Eerste Divisie,2020-09-19,GK,99,2,2.47,7,5,4,2,3,2,29,27,4,2,2
Cambuur - Go Ahead Eagles 0:2,Netherlands. Eerste Divisie,2020-09-11,GK,98,2,1.31,2,0,0,2,3,1,29,29,2,1,1
MVV - Cambuur 1:7,Netherlands. Eerste Divisie,2020-09-05,GK,96,1,1.4,2,1,0,3,4,1,22,22,6,5,1
Cambuur - NEC 2:0,Netherlands. Eerste Divisie,2020-08-28,GK,94,0,0.29,3,3,0,3,7,2,19,19,7,5,2
Emmen - Cambuur 2:5,World. Club Friendlies,2020-08-07,GK,102,2,1.97,6,4,2,1,5,5,26,25,2,1,1
AZ II - Cambuur 0:3,Netherlands. Eerste Divisie,2020-03-09,GK,94,0,0.88,2,2,2,2,10,5,13,12,7,3,4
Cambuur - PSV II 4:2,Netherlands. Eerste Divisie,2020-02-28,GK,94,2,1.54,3,1,1,0,6,4,13,13,2,0,2
Cambuur - Roda JC 2:0,Netherlands. Eerste Divisie,2020-02-21,GK,97,0,0.03,1,1,0,3,7,4,17,17,1,0,1
